;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
2950;-2.0;-0.789275;113.921327;-2.0;-2.0;1;0.0;IDN;neg;2017-04-22
76;-5.735555555555556;46.227638;2.213749;-0.4;-10.0;90;3.5788052354913438;FRA;neg;2017-04-22
2951;-6.5;25.354826;51.183884;-6.5;-6.5;1;0.0;QAT;neg;2017-04-22
898;-6.285714285714286;-25.274398;133.775136;-4.0;-10.0;7;2.3733211036908783;AUS;neg;2017-04-22
2148;4.0;-40.900557;174.885971;4.0;4.0;2;0.0;NZL;pos;2017-04-22
2904;-4.4;-14.235004;-51.92528;-4.4;-4.4;1;0.0;BRA;neg;2017-04-22
2901;0.0;4.210484;101.975766;0.0;0.0;1;0.0;MYS;pos;2017-04-22
2150;-5.5;33.854721;35.862285;-2.0;-9.0;2;3.5;LBN;neg;2017-04-22
294;3.975;55.378051;-3.435973;8.0;0.0;24;2.915940385764656;GBR;pos;2017-04-22
1631;3.0;53.41291;-8.24389;3.4;2.8;3;0.282842712474619;IRL;pos;2017-04-22
2975;-5.0;40.463667;-3.74922;-5.0;-5.0;1;0.0;ESP;neg;2017-04-22
2881;8.0;4.860416;-58.93018;8.0;8.0;1;0.0;GUY;pos;2017-04-22
448;4.2625;12.879721;121.774017;8.0;1.9;16;2.2772996618802717;PHL;pos;2017-04-22
2713;-6.5;-40.900557;174.885971;-6.5;-6.5;1;0.0;NZL;neg;2017-04-22
453;-7.206666666666666;51.165691;10.451526;-0.3;-10.0;15;3.7803821088467884;DEU;neg;2017-04-22
2420;-2.0;28.033886;1.659626;-2.0;-2.0;2;0.0;DZA;neg;2017-04-22
2983;3.0;7.369722;12.354722;3.0;3.0;1;0.0;CMR;pos;2017-04-22
403;3.211111111111111;46.36173333333333;-21.10135629411765;8.0;0.0;18;1.9393265981574603;EUR;pos;2017-04-22
186;-4.656410256410256;37.09024;-95.712891;-0.4;-10.0;39;3.5552629728402168;USA;neg;2017-04-22
1441;2.35;15.870032;100.992541;6.4;1.0;4;2.3382685902179845;THA;pos;2017-04-22
2260;3.4;38.963745;35.243322;3.4;3.4;2;0.0;TUR;pos;2017-04-22
2767;2.8;48.019573;66.923684;2.8;2.8;1;0.0;KAZ;pos;2017-04-22
1028;5.666666666666667;41.377491;64.585262;8.0;1.0;6;3.2998316455372216;UZB;pos;2017-04-22
2184;-10.0;13.794185;-88.89653;-10.0;-10.0;2;0.0;SLV;neg;2017-04-22
177;3.223809523809524;61.52401;105.318756;8.0;0.0;42;2.9000664626053565;RUS;pos;2017-04-22
2802;-2.0;25.930414;50.637772;-2.0;-2.0;1;0.0;BHR;neg;2017-04-22
2780;4.0;25.354826;51.183884;4.0;4.0;1;0.0;QAT;pos;2017-04-22
